"BehaviorSpace results (NetLogo 6.1.1)"
"Vasylenko_Lab4_2.nlogo"
"experiment"
"11/29/2020 20:05:56:186 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-8","8"
"[run number]","1","1","1","1","2","2","2","2","3","3","3","3","4","4","4","4","5","5","5","5","6","6","6","6","7","7","7","7","8","8","8","8","9","9","9","9","10","10","10","10","11","11","11","11","12","12","12","12","13","13","13","13","14","14","14","14","15","15","15","15","16","16","16","16","17","17","17","17","18","18","18","18","19","19","19","19","20","20","20","20","21","21","21","21","22","22","22","22","23","23","23","23","24","24","24","24","25","25","25","25"
"computer-strategy","cooperate",,,,"cooperate",,,,"cooperate",,,,"cooperate",,,,"cooperate",,,,"defect",,,,"defect",,,,"defect",,,,"defect",,,,"defect",,,,"tit-for-tat",,,,"tit-for-tat",,,,"tit-for-tat",,,,"tit-for-tat",,,,"tit-for-tat",,,,"unforgiving",,,,"unforgiving",,,,"unforgiving",,,,"unforgiving",,,,"unforgiving",,,,"pavlov",,,,"pavlov",,,,"pavlov",,,,"pavlov",,,,"pavlov",,,
"human-strategy","cooperate",,,,"defect",,,,"tit-for-tat",,,,"unforgiving",,,,"pavlov",,,,"cooperate",,,,"defect",,,,"tit-for-tat",,,,"unforgiving",,,,"pavlov",,,,"cooperate",,,,"defect",,,,"tit-for-tat",,,,"unforgiving",,,,"pavlov",,,,"cooperate",,,,"defect",,,,"tit-for-tat",,,,"unforgiving",,,,"pavlov",,,,"cooperate",,,,"defect",,,,"tit-for-tat",,,,"unforgiving",,,,"pavlov",,,
"[steps]","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500"

"[initial & final values]","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers"
,"2.994","2.994","1500","1500","4.99","0","2500","0","2.994","2.994","1500","1500","2.994","2.994","1500","1500","3.948","1.563","1978","783","0","4.99","0","2500","0.998","0.998","500","500","0.996","1.006","499","504","0.996","1.006","499","504","0.495","3.01","248","1508","2.994","2.994","1500","1500","1.006","0.996","504","499","2.994","2.994","1500","1500","2.994","2.994","1500","1500","2.08","2.08","1042","1042","2.994","2.994","1500","1500","1.006","0.996","504","499","2.994","2.994","1500","1500","2.994","2.994","1500","1500","0.511","2.976","256","1491","1.641","3.896","822","1952","3.01","0.495","1508","248","2.086","2.086","1045","1045","2.968","0.513","1487","257","2.83","2.89","1418","1448"
