"BehaviorSpace results (NetLogo 6.1.1)"
"HatModel.nlogo"
"num-required-1-50"
"11/24/2020 19:22:52:327 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"num-influence","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"number-required","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50"
"probability","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"numer-initial","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"[steps]","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","2","2","2","3","3","3","3","3","3","5","4","4","4","5","4","4","6","5","5","5","5","7","6","6","6","8","7","6","8","8","7","10"

"[initial & final values]","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink"
,"2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601"
