"BehaviorSpace results (NetLogo 6.1.1)"
"HatModel.nlogo"
"num-required-1"
"11/24/2020 18:22:20:657 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
"num-influence","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"number-required","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25"
"probability","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"numer-initial","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"[steps]","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3"

"[initial & final values]","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink","count-pink"
,"2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601","2601"
